1;аул Инжич-Чукун;1;1
2;аул Кара-Паго;1;1
3;аул Кубина;1;1
4;аул Псыж;1;1
5;аул Эльбурган;1;1
6;аул Адыге-Хабль;1;2
7;аул Эрсакон;1;2
8;село Садовое;1;2
9;аул Старо-Кувинск;1;2
10;аул Вако-Жиле;1;2
11;аул Апсуа;1;2
12;аул Ново-Кувинск;1;2
13;аул Абаза-Хабль;1;2
14;село Спарта;1;2
15;аул Мало-Абазинск;1;2
16;аул Тапанта;1;2
17;хутор Киево-Жураки;1;2
18;аул Баралки;1;2
19;хутор Грушка;1;2
20;хутор Дубянский;1;2
21;село Архыз;1;3
22;село Даусуз;1;3
23;станица Зеленчукская;1;3
24;аул Ильич;1;3
25;станица Исправная;1;3
26;станица Кардоникская;1;3
27;аул Кобу-Баши;1;3
28;аул Кызыл-Октябрь;1;3
29;хутор Лесо-Кяфарь;1;3
30;село Маруха;1;3
31;посёлок Нижний Архыз;1;3
32;село Нижняя Ермоловка;1;3
33;хутор Ново-Исправненский;1;3
34;станица Сторожевая;1;3
35;хутор Фроловский;1;3
36;село Хасаут-Греческое;1;3
37;село Хуса-Кардоник;1;3
38;посёлок Белая Гора;1;4
39;аул Верхний Учкулан;1;4
40;аул Верхняя Мара;1;4
41;аул Верхняя Теберда;1;4
42;хутор Восток;1;4
43;аул Джингирик;1;4
44;аул Каменномост;1;4
45;аул Карт-Джурт;1;4
46;посёлок Кубрань;1;4
47;аул Кумыш;1;4
48;аул Нижняя Мара;1;4
49;аул Нижняя Теберда;1;4
50;аул Новая Теберда;1;4
51;пгт Новый Карачай;1;4
52;пгт Правокубанский;1;4
53;село Село имени Коста Хетагурова;1;4
54;аул Учкулан;1;4
55;аул Хумара;1;4
56;аул Хурзук;1;4
57;посёлок Аксу;1;5
58;посёлок Водовод;1;5
59;село Джага;1;5
60;село Кичи-Балык;1;5
61;посёлок Коммунстрой;1;5
62;село Красный Восток;1;5
63;село Красный Курган;1;5
64;аул Кызыл-Покун;1;5
65;село Первомайское;1;5
66;село Римгорское;1;5
67;село Терезе;1;5
68;село Учкекен;1;5
69;село Хасаут;1;5
70;село Элькуш;1;5
71;аул Икон-Халк;1;6
72;поселок сельского типа Эркен-Шахар ;1;6
73;аул Эркен-Юрт ;1;6
74;аул Адиль-Халк ;1;6
75;аул Эркен-Халк ;1;6
76;аул Кубан-Халк ;1;6
77;хутор Евсеевский ;1;6
78;аул Кызыл-Тогай ;1;6
79;посёлок Водораздельный;1;7
80;село Дружба;1;7
81;посёлок Заречный;1;7
82;село Знаменка;1;7
83;село Ильичёвское;1;7
84;посёлок Кавказский;1;7
85;посёлок Красивый;1;7
86;посёлок Майский;1;7
87;посёлок Мичуринский;1;7
88;село Николаевское;1;7
89;посёлок Новый;1;7
90;посёлок Октябрьский;1;7
91;село Привольное;1;7
92;село Пригородное;1;7
93;село Пристань;1;7
94;хутор Родниковский;1;7
95;село Светлое;1;7
96;посёлок Солнечный;1;7
97;село Счастливое;1;7
98;село Таллык;1;7
99;пгт Ударный;1;7
100;хутор Холоднородниковский;1;7
101;село Холоднородниковское;1;7
102;село Чапаевское;1;7
103;посёлок Азиатский;1;8
104;хутор Большевик;1;8
105;посёлок Дамхурц;1;8
106;хутор Ершов;1;8
107;посёлок Загедан;1;8
108;село Курджиново;1;8
109;аул Кызыл-Уруп;1;8
110;рабочий посёлок Медногорский;1;8
111;хутор Первомайский;1;8
112;село Подскальное;1;8
113;станица Преградная;1;8
114;село Предгорное;1;8
115;село Псемён;1;8
116;посёлок Пхия;1;8
117;посёлок Рожкао;1;8
118;село Уруп;1;8
119;ело Важное;1;9
120;аул Гюрюльдеук;1;9
121;аул Джегута;1;9
122;село Койдан;1;9
123;станица Красногорская;1;9
124;аул Кызыл-Кала;1;9
125;аул Новая Джегута;1;9
126;аул Сары-Тюз;1;9
127;город Усть-Джегута;1;9
128;аул Эльтаркач;1;9
129;аул Хабез ;1;10
130;аул Али-Бердуковский ;1;10
131;аул Бесленей ;1;10
132;аул Зеюко ;1;10
133;аул Кош-Хабль ;1;10
134;аул Жако ;1;10
135;аул Псаучье-Дахе ;1;10
136;аул Малый Зеленчук ;1;10
137;аул Инжичишхо ;1;10
138;поселок Бавуко ;1;10
139;аул Кызыл-Юрт ;1;10
140;аул Абазакт ;1;10
141;аул Ново-Хумаринский ;1;10
142;город Черкесск;1;11
143;курортный посёлок Домбай;1;12
144;город Карачаевск;1;12
145;посёлок Малокурганный;1;12
146;посёлок Мара-Аягъы;1;12
147;пгт Орджоникидзевский;1;12
148;город Теберда;1;12
149;пгт Эльбрусский;1;12
