2;0908001658;АДМИНИСТРАЦИЯ  ЗАГЕДАНСКОГО  СП;369277, Карачаево-Черкесская Респ, Урупский р-н, Пхия п, Центральная ул, 8;9283844388 9283931394;;zagedan.sp@mail.ru;8:00 — 16:15
3;0908001665;АДМИНИСТРАЦИЯ  КУРДЖИНОВСКОГО  СП;369270, Карачаево-Черкесская Респ, Урупский р-н, Курджиново с, Шоссейная ул, 310;9284330645;http://kurdjinovo.ru;admkurdjinovo@yandex.ru;8:00 — 16:15
4;0908001295;АДМИНИСТРАЦИЯ  КЫЗЫЛ-УРУПСКОГО  СП;369264, Карачаево-Черкесская Респ, Урупский р-н, Кызыл-Уруп аул, Пионерская ул, 21;9289265440;http://kizil-urup.ru;kizil-urup-adm@mail.ru;8:00 — 16:15
5;0908002161;АДМИНИСТРАЦИЯ  ПРЕГРАДНЕНСКОГО  СП;369260, Карачаево-Черкесская Респ, Урупский р-н, Преградная ст-ца, Советская ул, 66;8878766227 988787661463;http://pregradnay.ru;psmo@yndex.ru;8:00 — 16:15
6;0908001714;АДМИНИСТРАЦИЯ  ПРЕДГОРНЕНСКОГО  СП;369284, Карачаево-Черкесская Респ, Урупский р-н, Предгорное с, Шоссейная ул, 31;9283871876;http://predgorniy.ru/;predgornoe09@mail.ru;8:00 — 16:15
7;0912000569;АДМИНИСТРАЦИЯ  УРУПСКОГО  МУНИЦИПАЛЬНОГО  РАЙОНА  КАРАЧАЕВО-ЧЕРКЕССКОЙ  РЕСПУБЛИКИ;369260, Карачаево-Черкесская Респ, Урупский р-н, Преградная ст-ца, Советская ул, 60;8787662243 8787661050;http://urupadm.ru;urup-o-otdel@list.ru;8:00 — 16:15
8;0908002179;АДМИНИСТРАЦИЯ  УРУПСКОГО  СП;369262, Карачаево-Черкесская Респ, Урупский р-н, Уруп с, Первомайская ул, 37;8787654121;http://urupsp.ru;urup-urup@mail.ru;8:00 — 16:15
9;0908001707;МЕДНОГОРСКОЕ  ГП;369281, Карачаево-Черкесская Респ, Урупский р-н, Медногорский пгт, Мира ул, 9;8787652314;http://mednogorckiy-pgt.ru;medn_urup@mail.ru;8:00 — 17:00
10;0912003908;"МБУ  УМР   ""МФЦ """;369260, Карачаево-Черкесская Респ, Урупский р-н, Преградная ст-ца, Красная ул, ДОМ 112;7-87876-61766;http://umfc.kchgov.ru;;8:00 — 20:00
11;0908004000;"МКДОУ   ""ДЕТСКИЙ  САД  №1   ""ОГОНЕК ""  П.  МЕДНОГОРСКИЙ """;"369281, Карачаево-Черкесская Респ, Урупский р-н, Медногорский пгт, Бардина ул, ДОМ 5 ""Б ""/А";7-87876-51107;;ogonek1963@mail.ru;7:30 — 18:00
12;0908003944;"МКДОУ   ""ДЕТСКИЙ  САД  №  1   ""СВЕТЛЯЧОК ""  СТ.  ПРЕГРАДНАЯ";369260, Карачаево-Черкесская Респ, Урупский р-н, Преградная ст-ца, Комсомольский пер, ДОМ 26;7-87876-61867;;svetlaychok.pr@mail.ru;7:30 — 18:00
13;0908003951;"МКДОУ   ""ДЕТСКИЙ  САД  №  2   ""КОЛОКОЛЬЧИК ""  П.  МЕДНОГОРСКИЙ """;369281, Карачаево-Черкесская Респ, Урупский р-н, Медногорский пгт, Бардина ул, ДОМ 11А;7-87876-51218;;kolokol1969urup@mail.ru;7:30 — 18:00
14;0908003983;"МКДОУ   ""ДЕТСКИЙ  САД  №  2   ""ОДУВАНЧИК ""  СТ.ПРЕГРАДНАЯ """;369260, Карачаево-Черкесская Респ, Урупский р-н, Преградная ст-ца, Октябрьская ул, ДОМ 33;8-87876-61187;;oduvanchik-urup@yandex.ru;7:30 — 18:00
15;0908003969;"МКДОУ   ""ДЕТСКИЙ  САД  №  3   ""ВАСИЛЕК ""  СТ.  ПРЕГРАДНАЯ """;369260, Карачаево-Черкесская Респ, Урупский р-н, Преградная ст-ца, Пионерский пер, ДОМ 29;7-87876-62392;;vasilek.pr@yandex.ru;7:30 — 18:00
16;0908003976;"МКДОУ   ""ДЕТСКИЙ  САД   ""БЕЛОЧКА ""  СЕЛО  КУРДЖИНОВО """;369270, Карачаево-Черкесская Респ, Урупский р-н, Курджиново с, Гагарина ул, ДОМ 150 А;8-87876-41547;;belochka,ku@mail.ru;7:30 — 18:00
17;0912002781;"МКДОУ   ""ДЕТСКИЙ  САД   ""ДУБОК ""  С.КУРДЖИНОВО """;369270, Карачаево-Черкесская Респ, Урупский р-н, Курджиново с, Шоссейная ул, 310/Б;8-787-664-11;;dubokdetsad@yandex.ru;7:30 — 18:00
18;0912002774;"МКДОУ   ""ДЕТСКИЙ  САД   ""МАДИНКА ""  АУЛ  КЫЗЫЛ-УРУП """;369264, Карачаево-Черкесская Респ, Урупский р-н, Кызыл-Уруп аул, Пионерская ул, 21;8-87876-63838;;zoya.rusakova.55@mail.ru;7:30 — 18:00
19;0908003937;"МКДОУ   ""ДЕТСКИЙ  САД   ""СОЛНЫШКО ""  СЕЛО  УРУП """;369262, Карачаево-Черкесская Респ, Урупский р-н, Уруп с, Первомайская ул, ДОМ 56;8-87876-54135;;strigina-1987@mail.ru;7:30 — 18:00
