369200, КЧР, г. Карачаевск, Чкалова ул, 1А;8 (87879) 2-20-12, 8 (928) 386-81-11;karachaevsk_1927@mail.ru;http://karachaevsk.info;256;пн-пт 9:00–18:00, перерыв 13:00–14:00
369231, КЧР, а. Нижняя Теберда, Чкалова ул, д. 49;8 (87879) 2-22-55;karraion@mail.ru;http://карачаевский-район.рф;257;пн-пт 9:00–18:00, перерыв 13:00–14:00
369200, КЧР, кп. Домбай, Пихтовый Мыс мкр,;8 (87879) 2-23-67, 8 (928) 388-09-25;dombayadm@mail.ru;;258;пн-пт 9:00–18:00, перерыв 13:00–14:00
369200, КЧР, г. Карачаевск, Коммунистическая ул, 87А;8 (87879) 2-89-40, 8 (928) 387-18-06;;;259;пн-пт 9:00–18:00, перерыв 13:00–14:00
369200, КЧР, пгт Орджоникидзевский, Шоссейная ул, 54;8 (87879) 2-23-67, 8 (928) 385-40-95;aakgo@mail.ru;;260;пн-пт 9:00–18:00, перерыв 13:00–14:00
369238, КЧР, пгт Эльбрусский, Горняцкий пер, 25;8 (87879) 2-23-67, 8 (928) 030-96-01, 8 (87879) 2-75-33, 8 (928) 398-23-83, 8 (905) 492-18-07;;;261;пн-пт 9:00–18:00, перерыв 13:00–14:00
369200, КЧР, г. Карачаевск, Чкалова ул, 1А;8 (87879) 2-23-67, 8 (928) 032-21-58, 8 (87879) 2-72-05, 8 (928) 027-56-87;duma09@yandex.ru;;262;
369200, КЧР, г. Карачаевск, Чкалова ул, 25;8 (87879) 2-20-68;Prof_licei_3@mail.ru;http://karachaevsk-polytech.ru;263;
369200, КЧР, г. Карачаевск, Речной пер, д. 1;8 (87879) 2-13-40;karleshoz09@mail.ru;;264;пн-пт 9:00–18:00, перерыв 13:00–14:00
369200, КЧР, г. Карачаевск, Мира ул, д. 26;8 (87879) 2-27-74;karovo@bk.ru;;237;ежедневно, круглосуточно 
369200, КЧР, г. Карачаевск, Чкалова ул, 1А;8 (87879) 2-21-63, 8 (928) 816-55-59, 8 (87879) 2-31-12, 8 (928) 816-55-59, 8 (87879) 2-80-97, 8 (87879) 2-88-84, 8 (87879) 2-26-48, 8 (87879) 2-28-64, 8 (87879) 2-27-32;kontrol.kgo@mail.ru;;265;пн-пт 9:00–18:00, перерыв 13:00–14:00
