369400, КЧР, а.Хабез, ул. У.Хабекова,74/2;(87873)2-10-41, (87873)5-13-31;zan09@mail.ru;http://www.ugszn09.ru/home/slugba/czn/opisanieczn.aspx?CZNF=MTE4Mg2;186;ПН-ПТ с 09:00 до 18:00 
369414, КЧР, а.Зеюко, ул. Атажукина, д.47;(87873)3-71-33, +7 928 030-71-69;spzeiuko@mail.ru;http://zeyuko.sp.kchgov.ru/;187;ПН-ПТ с 08:00 до 17:00 
369415, КЧР, а.Малый Зеленчук, ул.Калмыкова,10;963-288-43-79,  8 (87873) 33-6-59;mal-zelsp@mail.ru;http://mz-sp.ru/;188;ПН-ПТ с 08:00 до 17:00 
369415, КЧР, а.Кош-Хабль, ул. Умара Хабекова, 37;9094948800, +7 87873 3-35-34, +7 87873 3-35-41;koh-habl@mail.ru ;http://kosh-khabl.sp.kchgov.ru/ ;189;ПН-ПТ с 08:00 до 17:00 
369400, КЧР, а.Хабез, ул.Советская, 27;909-496-83-24, 909-499-26-28, 8 (87873) 21-5-81, 8 (87873) 21-0-61;habezobr@mail.ru;http://xabez-oo.ru/;190;ПН-ПТ с 08:00 до 17:00 
369400, КЧР, а.Хабез, ул. У.Хабекова,60;8 (87873) 2-24-38, 8 (87873) 5-10-24, 8 (87873) 5-17-02;;https://09.xn--b1aew.xn--p1ai/contact/Te/Mezhmunicipalnij_otdel_MVD_Rossii_Habezs;191;ежедневно, круглосуточно
369400, КЧР, а.Хабез, ул.Советская, д.27;918-719-66-00;;;192;
369413, КЧР, Псаучье-Дахе аул, А.Темирова ул, дом № 1 ;906-444-88-97, +7(8782)25-02-62;p.d-09@mail.ru;http://сошпсаучьедахе.рф/;193;с 09:00 до 18:00 
369414, КЧР, а.Бесленей, ул. Восточная, 21;903-422-68-72;detskiy_sadbeslenei@inbox.ru;http://dsbesleney.ucoz.com/ ;194;ПН-ПТ 07:30 до 18:00 
369428, КЧР, а.Жако, ул. Афаунова, д. 8;988-919-62-97, +7 (906) 4498772, +7 (963) 2832423;zhako.shkola@yandex.ru ;http://zhakoshkola.ucoz.ru/ ;195;с 8-00 до 20-00
369400, КЧР, а.Хабез, ул. Советская, 44;8-909-499-15-54, 8(87873) 21-3-60;ducsh@inbox.ru, keshtov.zamir@mail.ru;http://habez-sport.ru/ ;196;ПН-ПТ 8:00–17:00 
369400, КЧР, а.Хабез, ул. Советская, 44;909-498-16-61, +7(928) 3978233;irinasakieva@mail.ru ;http://center-td.ru/ ;197;ПН-ПТ 9:00–17:00 
369400, КЧР, а.Хабез, ул.Ленина, 69 ;909-495-27-26, 8-906-444-91-05;satanej2019@yandex.ru, setenei2013@yandex.ru ;http://ds-sataney.ru;198;ПН-ПТ 07:30 до 18:00 
369429, КЧР, пос.Бавуко, ул. Хабекова, 32;+7 909 495-55-95, 905-420-64-60;detskiysad.nart@inbox.ru ;http://ds-nart.ru/ ;199;ПН-ПТ 07:30 до 18:00 
365425, КЧР, а. Али-Бердуковский, ул. Школьная, 16;909-495-57-15, 8-909-497-40-78,8-928-389-64-17;zolushka.detskiysad@mail.ru;http://ds-zolushka.ru/ ;200;ПН-ПТ 07:30 до 18:00 
369426, КЧР, а.Инжичишхо,  ул. С.Дерева, 47 ;909-497-02-74, +7 909 499 20 51;soshdereva@yandex.ru ;https://www.derevschool.org/ ;201;ПН-ПТ 07:30 до 18:00 
369400, КЧР, а. Хабез, ул. Советская, 27 ;8 909 499 04 09, (87873) 5-14-41;xabez@bk.ru ;http://xabez.ru/ ;202;09:00 – 18:00
369415, КЧР, а. Малый Зеленчук, ул. М. Шакова,1;+7 909 493-24-28, +7 87873 3-36-82, 918-712-09-33;m-zelshkola@mail.ru ;http://malzelshkola.ucoz.ru/ ;203;ПН-ПТ 8:00–16:00 
369400, КЧР, АУЛ ХАБЕЗ, УЛ СОВЕТСКАЯ, Д 27;909-497-93-05, 8 (87873) 2-13-00, 8 (928) 393-51-35;;http://xabez.ru/ ;204;ПН-ПТ 9:00–18:00
369413, КЧР, Абазакт аул, Центральная ул, здание № 32;909-498-47-04;abazaktleh@mail.ru;https://abazakt.kchrschool.ru/;205;ПН-СБ 8:30–16:30
369415, КЧР, а.Малый Зеленчук, ул. А. Мамбетова, 2;909-496-08-87, 8-988-915-92-88;dahanago@inbox.ru ;http://ds-dahanago.ru/;206;ПН-ПТ 07:30 до 18:00 
369429, КЧР, Бавуко п, Школьная, 4;909-498-82-59, 8-928-399-29-84, 8 (87873) 3-23-25;ledi-09@mail.ru;http://fshorova.ucoz.ru/;207;ПН-ПТ 8:00–16:00 
369400, КЧР, а.Хабез, ул.Советская, д.27;963-285-05-05;ksp_habez@mail.ru ;http://xabez.ru/sovet/ksp/1541-test.html;208;ПН-ПТ 9:00–18:00
